Lua Diagnostics | Errors: 0 | Warnings: 1846 | EmmyLua Types: /workspace/.emmylua
Info: 0 | Hints: 374 | Total: 2220 | Time: 2026-06-19 23:08:57 | Dir: /workspace/scripts
---
WARN  | editor_mode.lua:122:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:123:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:124:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:125:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:126:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:126:26 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:127:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:128:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:129:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:130:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:131:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:140:8 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:141:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:144:12 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:145:9 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:146:9 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:147:9 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:148:9 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:152:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:153:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:155:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:155:20 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:156:20 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:159:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:161:35 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:165:12 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:166:9 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:167:12 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:168:27 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:173:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:177:17 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:181:5 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:181:21 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:181:39 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:181:49 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:181:63 | G may be nil [need-check-nil]
WARN  | editor_mode.lua:182:5 | G may be nil [need-check-nil]
